Prompt,,,,,,,,,,,,,,,,
First story block,The hospital seems to be completely empty. You wake up in an old rundown hospital with no memory of how you got there. You look around and see broken equipment lying around the room. ,As you leave the store you notice movement out behind your car. A man steps out with a hungry look in his eyes. His clothes are in tatters and he is carrying a crowbar.,"The man shakes his head. ""Hardly enough food for one person. I've only lived this long by looking after myself."" He turns and starts walking away.",As you're walking to to Clayton you start getting hungry. You remember that you have few granola bars in your pocket. ,"You try to open the farmhouse front door, but it's locked. There's a broken window on the right and a shed behind the house.",To your right you see jars filled with preserved fruits and vegetables. To your left you see more jars but can make out the contents clearly.,You awaken to some sunlight beams leaking in through the shed. You stretch and yawn as you look at the jars of preserves.,You roll the pebble around in your mouth and your mouth begins to salivate.,You walk back into the store and find a few shirts that you tear and wrap around your chest. It helps you feel slightly better. But you're still in a lot of pain.,"The man shakes his head. ""Hardly enough food for one person. I've only lived this long by looking after myself."" He turns and starts walking away.","You open the back door into the house and go inside. You're in a combined kitchen and living room. You see several cupboard doors are hanging open, a fridge and several couches around a TV.",There's an old warehouse and a few mechanics shops. ,"You delight it some pickled okra and some peach preserves. You think about bringing some food with you, but it will be too heavy for travel. So you try to eat as much as you can now. You decide to have some for the morning as well. It's getting late and with your full belly you are feeling quite tired. You can reenter the farmhouse or sleep in the shed.",sleep the night in the farmhouse.,You the hatch door wide open and look down into it. You see a few more shelves and notice that room leads further back. You feel a draft coming from that direction.,You get out of the car and walk towards the trunk.
Action,eat another granola bar.,ask him where he thinks we should go next.,see if you can find out where Bright Meadow is from the journal. ,sleep the night in the farmhouse.,go back to shed,pull the ring,continue down the road,check the backseat,listen for the footsteps,break window,lift the bed up,look around,move slowly towards the back wall,tell the cat to come down,look in the back of the room,get out of the car
Result,You feel better. You should probably save the rest of your food though.,He tells you there is a house on the road that looked undisturbed that might be worth checking out. ,You look through the journal to see if there are any clues about where Bright Meadow is. You find a crude map that shows Bright Meadow to the north of a town called Clayton. ,You wake up in the middle of the night sweating from a nightmare. In it you saw a woman screaming in some dark place. You feel like you need to rescue her and that you're the only one who can help her. ,Dusk is setting and you climb out the window unscathed. You walk over to the shed and begin to attempt cutting the lock off. Your stomach growls as you place the bolt cutter on the lock. In that moment you think you hear rustling behind you. You turn to look and nothing is there. so you resume cutting the padlock off.,The floor lifts slightly and a dusty smell wafts out.,It's been roughly an hour now and the sun is really shining down you. You are becoming a little parched and in need of refreshment.,You notice a dried blood stain on the back car seat. There is also some trash.,After you moved you couldn't hear the footsteps anymore. You try to steady your heart rate and your breathing. After a few minutes you hear the footsteps again.,"Thinking on it, you wrap your shirt around fist and bust the window open. You clear off as much debris as you can.",You lift up the bed and wait for him to have some reaction. You watch him crouch down and use the crowbar to hit some boxes and bags.,The warehouse looks slightly undisturbed. There are some boxes that have tipped over and scattered pallets in messy piles.,You could make out that there is more hay up here but everything else is quite hard to see. As you make your way forward towards the hay you hit your head on something cold and metal-like. ,You make encouraging noises and words at the cat so it will come with you. It doesn't move. It watches you stoically from above.,You head back towards where a draft comes from. There seems to a be a tunnel that you can't see the end of. It is dark and damp.,You check the car one more time. To make sure there isn't anything useful left behind.
Action,leave the store and get back in the car.,start going towards the house. ,go to Clayton.,go back to sleep till the morning.,enter the shed,shut the hatch back,scan your surroundings,check the floors,stay quiet,crawl through window,ask him if he can see it,check some boxes,use your hand to access the object,leave the through the window,head down the tunnel,head towards Clayton 
Result,As you leave the store you notice movement out behind your car. A man steps out with a hungry look in his eyes. His clothes are in tatters and he is carrying a crowbar.,You are walking towards the house. You reach an intersection. There is a police station on one corner an office building on another. The house is another half mile down the road. ,You don't know where Clayton is. But maybe if you found a map you could figure out where it is.,"You try to go back to sleep, but can't shake the feelings from your dream. You decide you might as well get up and see if you can do anything productive. ","You remove the padlock and slowly open the door. With the sun setting, it's a bit difficult to see the contents of the shed.",It seems to be a hatch that leads to an underground area like a cellar or bunker.,To the right there are fields that use to hold crops that are currently in decay. To the left there is a slightly decaying forest. ,You scan underneath the front car seats and the floors. You find the car keys were just out of sight under the driver's seat. ,A back door opens to your right and it startles you. You feel a cough well up inside you.,You pull yourself through and find yourself in a small bathroom. There doesn't seem to be anything important here.,"""I would say something if I did"" he sasses back at you. Maybe it's in one of the boxes or bags trying to hide. You are starting to get tired holding up the bed.",You grab the top of a box and pull it down. The box shifts forward and a bunch of doll heads spill. This startles you and causes you to gasp loudly.,"It seems to be thick old hook connected by chain link. When you touch it, it creaks a bit. You hear another slight movement that happens in reaction to the chain creaking. The sound seems to have come from the hay you were heading towards.",You climb out through the window and head towards the shed. When you enter the shed you notice there are some jars missing. ,"You walk down the tunnel. It's a little damp and you can hear a water drip coming from somewhere. That might be a good sign, as you are quite thirsty.","Even without the car, you know if won't take too long for you to reach Clayton then head towards Bright Meadow. You try to stay optimistic despite being a bit dehydrated and also starting to get hungry again."
Action,run at the man and attack him.,keep going towards the house. ,look for a map somewhere in the hospital. ,look around the farmhouse for anything else useful.,search the shed,open the hatch again,walk left into the forest,start the car,hold in the cough,open door to front desk area,ask him to hurry,examine the rest of the warehouse,continue towards the hay bales,scan area,continue down the tunnel,continue down the road
Result,You run forward to attack the man. His crowbar crashes into your chest and you fall to the ground. He kicks you a few times and then grabs your granola bars and runs off.,You keep walking and eventually reach the house. You see a two story house that looks fairly undisturbed. There's a garage on the right and a path to the backyard on the left. ,You start looking around for a map. You find an administrator's office that you think might have one.,You look around the farmhouse for anything else useful. You don't find anything else useful.,You can make out that there are some storage shelves and a few tables. You see something that looks a tin pot or jug to some sort. You check it and it has nothing inside. Next to it on a table you see a matchbox. You take the matchbox because it's likely to help you see.,You open up the hatch again but a little wider and stick your head in a bit. It's too dark to see anything. All you can do is smell the muskiness of whatever is below.,You walk into the woods and sit on a rock between a group trees. You wonder if there is some form of running water somewhere in here. You notice there are small pebbles at your feet.,You try to start the car several times and nothing happens. You think of the possibility it needs gas and maybe they had spare gas in the trunk. ,You place you hand over your mouth as you see a women cautiously come inside. She doesn't really look harmful but who knows what could be on her mind.,You slowly open the door and see the front desk area is mostly untouched.There's lots of dust  flying around.,He scoffs at you and begins to wail the crow bar on the boxes and bags. We don't hear anything or see anything.,"You begin walking down the aisles and assume this a warehouse for toys or just parts of dolls. Then you distantly hear a playful voice say, ""This way...come this way"". They don't sound harmful.",You're not very certain what the sound could have been but whatever it is didn't sound too large.,You step out the shed for a moment and look around. You don't see anyone or anything. Maybe your mind is playing tricks on you.,"You walk a good fifthteen more minutes down the tunnel till you reach a fork in the passage. It splits into three ways. Right, middle, and left.",As you continue down the road you notice a movement in the sky.
Action,go after him.,go around the house to the backyard.,search the office for a map.,leave the farmhouse and continue walking towards Clayton.,strike a match,close the hatch and resume to try to sleep,pick up a pebble,pop the trunk,stay hidden and attempt to escape,search the desk area,tell him you need to place the bed back down,go in the direction you heard the voice come from,approach the hay bales,head back to the shed,go to the right,look up at the sky
Result,"You go after him. As you try and stand up though you realize you're in extreme pain. You think one of your ribs is broken. You manage to get yourself on your feet, but realize catching him is impossible. ",You go to the backyard of the house. There's a dirty grill and an overturned slide. There's a door to the house on the back porch.,You look through the filing cabinets for a map. You find a bunch of patient records in a filing cabinet. In the desk you find a map that shows other hospitals in the region. It says Clayton is 15 miles to the West of here. ,You get back on the road and continue your journey. After a few hours you realize how starving you are. You' really need to find a food.,The first match goes dull quick. The second and third match break as you try to strike them. There are only two matches left. You try to relax a bit to keep yourself from breaking another match. You strike the match and it stays lit.,You lay on the small rug and try to get comfortable. You hold yourself and try to get a grasp on reality before fading to sleep.,You pick up the pebble and notice the ground if very dry. This makes you uncertain a water source could be nearby. You could try to go further into the forest or suckle on the pebble to create saliva to help your body sustain a bit longer.,You press the button to unlock the trunk. It slowly lifts open.,The woman looks around and beings to check the materials and rubbish scattered around on the floor mostly in the well lit areas. Your cough lets out.,"You begin to scan the desk, there are lots of papers and receipts. You open the first drawer and find some keys.",He pulls the boxes and bags out with the crowbar and places them to the side. He nods at you.,"""Hey, over here..."" you hear the playful voice say from a short distance away.",You stand in front of the hay bales and squint your eyes to try to see something. After a few minutes without hearing any movement or sound you lay down on the hay. It's a little prickly but it's better than a cold floor.,You turn around and the lovely three-legged cat approaches you. You pet it and head back into the shed.,"You head down the right passage and don't have to walk too long before coming into a room with a pile of bones in it. There seems to be both human and animal bones here, this frightens you.",You see there are few birds of prey circling an area at the end of the forest. there could be something there that has taken there interest. However you aren't too far from entering the Clayton limits.
Action,look for something to wrap your chest with.,open the back door into the house.,leave the hospital and start heading towards Clayton.,look around to see what's around me.,search the shed slowly,wake up,suckle on the pebble,check the trunk,make a run for the back door,take keys,put the bed down,walk towards the voice,try to sleep,eat some preserves,head back and go down the middle,continue towards Clayton
Result,You walk back into the store and find a few shirts that you tear and wrap around your chest. It helps you feel slightly better. But you're still in a lot of pain.,"You open the back door into the house and go inside. You're in a combined kitchen and living room. You see several cupboard doors are hanging open, a fridge and several couches around a TV.",As you're walking to to Clayton you start getting hungry. You remember that you have few granola bars in your pocket. ,There's an old warehouse and a few mechanics shops. ,To your right you see jars filled with preserved fruits and vegetables. To your left you see more jars but can make out the contents clearly.,You awaken to some sunlight beams leaking in through the shed. You stretch and yawn as you look at the jars of preserves.,You roll the pebble around in your mouth and your mouth begins to salivate.,You get out of the car and walk towards the trunk.,"You dash out the back door and hear the woman scream, ""Wait! Watch out!!"". You take a few steps forward through the door and suddenly fall down into a hole. You are knocked unconscious.",You walk over to the front door and the keys on them. They don't seem to work.,You both slowly look through boxes and bags. You find a hanger and use it to poke through things.,You head in the direction you heard the voice come from. After passing a few aisles of stacked boxes you see an old man stand holding a doll. He beings to cackle.,"Your mind races as you try to process what exactly is going on in the world. With very little memory of yourself and your surroundings, you try to meditate and access memories. After an hour you feel as if you know before you were heading somewhere, or there was a destination in mind at least. However, why or when you entered the hospital is still a mystery to you. You fall asleep amongst your thoughts.",You open some preserved pumpkin and begin to eat it. The cat meows at you. It must be hungry too. You place some pumpkin on the ground for it to eat. It makes delightful eating noises. You get back to eating and suddenly you hear some shuffling coming from somewhere... beneath you?,"You run back and head down the middle passage. Your lantern is starting to go flicker in and out. You reach a huge room that has a heavy air to it. You are filled with dread. As you walk further into the room a deep voice bellows, ""We've been waiting for you""",You approach a sign that says the road exit to Clayton is up ahead. You're pace picks up as you steady closer to the exit ramp.
