tree_id,path,context,story_block_1,previous_action_1,story_block_2,previous_action_2
apoc_seed4,0000211,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,A man appears from another room in the house.,Run away.,"You burst through the front door of the house, knowing the man won't take kindly to you stealing the few things he had left.",Run as fast as you can towards the nearest suitable hiding place.
apoc_seed4,0000300,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,There's a name carved in the wood: Paolo.,Take the broom as a weapon,As I round the corner there is a man standing there. I can only assume it is Paolo.,Ask Paolo to join you in your quest for survival.
apoc_seed4,0000301,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,There's a name carved in the wood: Paolo.,Take the broom as a weapon,As I round the corner there is a man standing there. I can only assume it is Paolo.,"Hit Paolo in the head with the broom, knocking him unconscious, then leave a note thanking him for the gift."
apoc_seed4,0000310,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,There's a name carved in the wood: Paolo.,Try to find Paolo to be not alone anymore,"Seeing signs of another person gives you hope someone may be out there, even if it is just a sign they were there in the past.  You call out for Paolo, and listen in anticipation.",Check another building.
apoc_seed4,0000311,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,There's a name carved in the wood: Paolo.,Try to find Paolo to be not alone anymore,"Seeing signs of another person gives you hope someone may be out there, even if it is just a sign they were there in the past.  You call out for Paolo, and listen in anticipation.",Give up as Paolo probably died a long time ago.
apoc_seed4,0001000,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,The medikit is very basic.  Still it can come in handy.  You decide to take it with you.,Put the medikit into your bag and move on,You come across a girl lying on the ground. You walk over to her.,Check if she is sleeping.
apoc_seed4,0001001,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,The medikit is very basic.  Still it can come in handy.  You decide to take it with you.,Put the medikit into your bag and move on,You come across a girl lying on the ground. You walk over to her.,"Yell out ""Hey get up!"""
apoc_seed4,0001010,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,The medikit is very basic.  Still it can come in handy.  You decide to take it with you.,Examine flashlight,"It's a large flashlight, if it had batteries it would probably light up a whole room.",use the flashlight to look for other supplies
apoc_seed4,0001011,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,The medikit is very basic.  Still it can come in handy.  You decide to take it with you.,Examine flashlight,"It's a large flashlight, if it had batteries it would probably light up a whole room.",use the flashlight to make signals to find other people
apoc_seed4,0001100,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,"You go back outside, and you notice the sun is setting: it's a bit darker already.",Look in bag for batteries,You find some batteries and put them into the flashlight and switch in on.,Search for shelter for the night.
apoc_seed4,0001101,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,"You go back outside, and you notice the sun is setting: it's a bit darker already.",Look in bag for batteries,You find some batteries and put them into the flashlight and switch in on.,Use flashlight to look around for anything you might have missed due to darkness.
apoc_seed4,0001110,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,"You go back outside, and you notice the sun is setting: it's a bit darker already.",Return inside for the night,It is dark in here so you switch the flashlight on and scan your surroundings looking for a good spot to lie down and sleep.,Go to a corner and sleep on the floor.
apoc_seed4,0001111,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,"You go back outside, and you notice the sun is setting: it's a bit darker already.",Return inside for the night,It is dark in here so you switch the flashlight on and scan your surroundings looking for a good spot to lie down and sleep.,Look for something comfortable to lay on.
apoc_seed4,0001200,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,You put the medkit in your bag.  You know you will probably need it.,Keep walking.,with things in the backpack is getting prepared for the unusual situations,Search for any signs of other survivors.
apoc_seed4,0001201,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,You put the medkit in your bag.  You know you will probably need it.,Keep walking.,with things in the backpack is getting prepared for the unusual situations,Look for a vehicle that still has fuel.
apoc_seed4,0001210,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,You put the medkit in your bag.  You know you will probably need it.,Take a break to get more energy.,needs rest because things can complicate,Get back on the road.
apoc_seed4,0001211,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,You put the medkit in your bag.  You know you will probably need it.,Take a break to get more energy.,needs rest because things can complicate,Try and get some sleep.
apoc_seed4,0001300,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,"You find batteries in an old rusty box, but they are the wrong size.",Look for more batteries.,"While you are looking for more batteries, a voice behind you says ""Looking for something?""",Raise your hands slowly.
apoc_seed4,0001301,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,"You find batteries in an old rusty box, but they are the wrong size.",Look for more batteries.,"While you are looking for more batteries, a voice behind you says ""Looking for something?""",Turn around in shock.
apoc_seed4,0001310,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,"You find batteries in an old rusty box, but they are the wrong size.",Take these batteries and plan to barter them later.,You store the batteries in your bag next to the still useless flashlight.  Maybe someone will need them and have the size you're looking for.,Look for further useful things.
apoc_seed4,0001311,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,"You find batteries in an old rusty box, but they are the wrong size.",Take these batteries and plan to barter them later.,You store the batteries in your bag next to the still useless flashlight.  Maybe someone will need them and have the size you're looking for.,Make an inventory of what you have in the bag.
apoc_seed4,0002000,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,You throw up the rotten meat on the floor. You feel awful and are more dehydrated and hungry than before.,start searching for some liquid to drink,"You spy a flash of red beneath a collapsed wall. It is a precious can of Coca-Cola. It is worth a good bit in trade, but you guzzle it down nonetheless.",Continue to search through the rubble of the collapsed wall.
apoc_seed4,0002001,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,You throw up the rotten meat on the floor. You feel awful and are more dehydrated and hungry than before.,start searching for some liquid to drink,"You spy a flash of red beneath a collapsed wall. It is a precious can of Coca-Cola. It is worth a good bit in trade, but you guzzle it down nonetheless.",Put the empty can in your backpack.
apoc_seed4,0002010,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,You throw up the rotten meat on the floor. You feel awful and are more dehydrated and hungry than before.,try calling out for help,No one answers from the darkness.,there are potions everywhere that are not marked
apoc_seed4,0002011,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,You throw up the rotten meat on the floor. You feel awful and are more dehydrated and hungry than before.,try calling out for help,No one answers from the darkness.,there is a response from far away
apoc_seed4,0002012,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,You throw up the rotten meat on the floor. You feel awful and are more dehydrated and hungry than before.,try calling out for help,No one answers from the darkness.,Set the meat outside as bait.
apoc_seed4,0002013,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,You throw up the rotten meat on the floor. You feel awful and are more dehydrated and hungry than before.,try calling out for help,No one answers from the darkness.,Scream out in agony and defeat.
apoc_seed4,0002100,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,You lay down on the floor and fall asleep,Rest until I feel better,When you awaken the sun is bright. It is morning.,Head for the forest and find something to forage.
apoc_seed4,0002101,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,You lay down on the floor and fall asleep,Rest until I feel better,When you awaken the sun is bright. It is morning.,Head towards the decaying city to scavenge for the last scraps of food and supplies.
apoc_seed4,0002110,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,You lay down on the floor and fall asleep,Panic and look for people,There is no one to be found. You take a few deep breaths and try to calm yourself.,"Yell out as loud as you can ""Anybody out there??"""
apoc_seed4,0002111,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,You lay down on the floor and fall asleep,Panic and look for people,There is no one to be found. You take a few deep breaths and try to calm yourself.,Come to terms with your loneliness.
apoc_seed4,0002200,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,"You put the can of peas in your backpack, right now you're feeling too sick to eat them.","pretend death by starving, eat the rotten meat","The rotten meat sets off another wave of nausea, but you keep it down this time. The apocalypse has done wonders for fortifying your guts.",Walk out of the room.
apoc_seed4,0002201,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,"You put the can of peas in your backpack, right now you're feeling too sick to eat them.","pretend death by starving, eat the rotten meat","The rotten meat sets off another wave of nausea, but you keep it down this time. The apocalypse has done wonders for fortifying your guts.",Burp loudly.
apoc_seed4,0002210,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,"You put the can of peas in your backpack, right now you're feeling too sick to eat them.",Eat the peas later,You wait until the nausea subsides and for your hunger to return before prying open your can of peas to eat them as you continue to look for supplies.,Throw up because you hate peas.
apoc_seed4,0002211,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,"You put the can of peas in your backpack, right now you're feeling too sick to eat them.",Eat the peas later,You wait until the nausea subsides and for your hunger to return before prying open your can of peas to eat them as you continue to look for supplies.,Use the can to store your powerstones you find.
apoc_seed4,0002300,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,"You take a bite of the peas, but your stomach turns.  You look away as you empty your stomach out on the ground.",Find more food.,"You quickly rush to the other side of the store to see if anything else remained.  You see a box of crackers under a shelf, and eat them, now hungrier than ever, despite the nausea.",Check the store storage room to see if there are any items.
apoc_seed4,0002301,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,"You take a bite of the peas, but your stomach turns.  You look away as you empty your stomach out on the ground.",Find more food.,"You quickly rush to the other side of the store to see if anything else remained.  You see a box of crackers under a shelf, and eat them, now hungrier than ever, despite the nausea.",Walk to the next store and search it.
apoc_seed4,0002310,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,"You take a bite of the peas, but your stomach turns.  You look away as you empty your stomach out on the ground.",Go to sleep.,"When you wake up, your stomach still hurts, but you feel more energetic.",Lick the food off of the ground.
apoc_seed4,0002311,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,"You take a bite of the peas, but your stomach turns.  You look away as you empty your stomach out on the ground.",Go to sleep.,"When you wake up, your stomach still hurts, but you feel more energetic.",Use the can as a hat.
apoc_seed4,0003000,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,You do not eat the meat because you don't want to get sick and not be able to scavenge.,Use the meat as bait to catch prey.,"You figure animals might have stronger stomachs, and with your bow and arrow in hand, you leave the meat near the edge of the woods, and hide behind the nearest shed.",a friendly dog comes to sniff the meat and becomes a companion
apoc_seed4,0003001,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,You do not eat the meat because you don't want to get sick and not be able to scavenge.,Use the meat as bait to catch prey.,"You figure animals might have stronger stomachs, and with your bow and arrow in hand, you leave the meat near the edge of the woods, and hide behind the nearest shed.",a mean and growling dog  sniffs at the meat
apoc_seed4,0003002,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,You do not eat the meat because you don't want to get sick and not be able to scavenge.,Use the meat as bait to catch prey.,"You figure animals might have stronger stomachs, and with your bow and arrow in hand, you leave the meat near the edge of the woods, and hide behind the nearest shed.","Fire at the first animal that comes, no matter what."
apoc_seed4,0003003,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,You do not eat the meat because you don't want to get sick and not be able to scavenge.,Use the meat as bait to catch prey.,"You figure animals might have stronger stomachs, and with your bow and arrow in hand, you leave the meat near the edge of the woods, and hide behind the nearest shed.",Take a nap while you wait.
apoc_seed4,0003010,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,You do not eat the meat because you don't want to get sick and not be able to scavenge.,Look for something else to eat.,You find a can of peaches in a abandoned building. You open it.,Eat one slice of peach to see if it's still good.
apoc_seed4,0003011,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,You do not eat the meat because you don't want to get sick and not be able to scavenge.,Look for something else to eat.,You find a can of peaches in a abandoned building. You open it.,Smell the peaches.
apoc_seed4,0003100,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,"You know the meat was probably bad, but your stomach still rumbles.  You hope that you can find some more food elsewhere.",Search for fire making material,"Inside a partially collapsed building, you find furniture, lots of it. It must have been a furniture store. To think, people paid good money for this stuff. Now money no longer matters, and all this fancy furniture is good for is burning.","Note the location of the furniture store in your notebook, it's a good place to sleep."
apoc_seed4,0003101,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,"You know the meat was probably bad, but your stomach still rumbles.  You hope that you can find some more food elsewhere.",Search for fire making material,"Inside a partially collapsed building, you find furniture, lots of it. It must have been a furniture store. To think, people paid good money for this stuff. Now money no longer matters, and all this fancy furniture is good for is burning.",Find dining chairs to break into firewood.
apoc_seed4,0003110,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,"You know the meat was probably bad, but your stomach still rumbles.  You hope that you can find some more food elsewhere.",Wrap meat and put in knapsack for future cooking,as a result of not finding any other food i done it and it was prepared nice,Try to cook the meat over a fire.
apoc_seed4,0003111,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,"You know the meat was probably bad, but your stomach still rumbles.  You hope that you can find some more food elsewhere.",Wrap meat and put in knapsack for future cooking,as a result of not finding any other food i done it and it was prepared nice,Smell the meat to see how bad it is.
apoc_seed4,0003200,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,"The meat is smelling bad, but you decide not to throw it away: it may be useful as bait, or for something else.",put the meat in your backpack,The scent of the meat attracts insects and they swarm around your head.,decide to cook it and light a fire
apoc_seed4,0003201,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,"The meat is smelling bad, but you decide not to throw it away: it may be useful as bait, or for something else.",put the meat in your backpack,The scent of the meat attracts insects and they swarm around your head.,throw it down disgusted.
apoc_seed4,0003210,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,"The meat is smelling bad, but you decide not to throw it away: it may be useful as bait, or for something else.",cook the meat immediately so it doesnt spoil anymore,"You store the meat away and venture to the nearest trader. You exchange part of the meat for the new universal currency, 5.56 rounds, of which you receive 10. That's 10 more than you had for your battered AR rifle.",Ask the trader what they have for sale.
apoc_seed4,0003211,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,"The meat is smelling bad, but you decide not to throw it away: it may be useful as bait, or for something else.",cook the meat immediately so it doesnt spoil anymore,"You store the meat away and venture to the nearest trader. You exchange part of the meat for the new universal currency, 5.56 rounds, of which you receive 10. That's 10 more than you had for your battered AR rifle.",Try to start a business deal with the trader where you provide goods in exchange for food.
apoc_seed4,0003300,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,You look behind the fridge and find several other cans.  You wonder if the cans may have fallen behind the fridge.  You stuff them into your bag.,continue searching for more food,"You dare to open the fridge, but only encounter a horrible smell.  You close the door and continue the search.",try to move the fridge
apoc_seed4,0003301,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,You look behind the fridge and find several other cans.  You wonder if the cans may have fallen behind the fridge.  You stuff them into your bag.,continue searching for more food,"You dare to open the fridge, but only encounter a horrible smell.  You close the door and continue the search.",The fridge door pops open and rotten food falls out.
apoc_seed4,0003310,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,You look behind the fridge and find several other cans.  You wonder if the cans may have fallen behind the fridge.  You stuff them into your bag.,go outside and open a can of peas,"You know you should ration, but the peas were so delicious, you decide to have another can.  With enough food in your bag, now, you head outside to enjoy some sun as you continue your lunch.  Luckily, these peas look as appetizing as the last can.",Look for water.
apoc_seed4,0003311,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,You look behind the fridge and find several other cans.  You wonder if the cans may have fallen behind the fridge.  You stuff them into your bag.,go outside and open a can of peas,"You know you should ration, but the peas were so delicious, you decide to have another can.  With enough food in your bag, now, you head outside to enjoy some sun as you continue your lunch.  Luckily, these peas look as appetizing as the last can.",Take some time to enjoy the moment.
apoc_seed1,0000000,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,The jerky is so hard your tooth falls out.,look for a mirror to assess the damage,Blood is pouring from your mouth and the pain is unbearable.,Press your tongue into the abscess to stop the bleeding.
apoc_seed1,0000001,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,The jerky is so hard your tooth falls out.,look for a mirror to assess the damage,Blood is pouring from your mouth and the pain is unbearable.,Look for cloth or paper towel to stuff the gaping wound with.
apoc_seed1,0000010,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,The jerky is so hard your tooth falls out.,use pliers to pull the rest of the tooth,Passes out from the pain. Falls to the floor,Check your things for alcohol or antiseptic.
apoc_seed1,0000011,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,The jerky is so hard your tooth falls out.,use pliers to pull the rest of the tooth,Passes out from the pain. Falls to the floor,Search the area for medical supplies.
apoc_seed1,0000100,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,The sandwich is stale.  You throw it away and hope you don't get sick.,Look for more food.,"There is no more food around, but there's two bottles of beer.",Drink one beer.
apoc_seed1,0000101,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,The sandwich is stale.  You throw it away and hope you don't get sick.,Look for more food.,"There is no more food around, but there's two bottles of beer.",Put the beer in your bag and walk towards the next store.
apoc_seed1,0000110,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,The sandwich is stale.  You throw it away and hope you don't get sick.,Take some medicine you saved.,"It wasn't enought, you are food poisoned.",take more medicine
apoc_seed1,0000111,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,The sandwich is stale.  You throw it away and hope you don't get sick.,Take some medicine you saved.,"It wasn't enought, you are food poisoned.",ride  out the food poisoning
apoc_seed1,0000200,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,"You discovered the peppered beef had gone bad when you developed cramps and diarrhea just hours after eating it.  Fortunately, the food poisoning will pass and you will be all right.",Look for water.,You find a dirty puddle. You know it is likely contaminated but you are so thirsty you bend down and lap it up.,It tastes horrible and within a half hour your stomach begins having awful pains.
apoc_seed1,0000201,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,"You discovered the peppered beef had gone bad when you developed cramps and diarrhea just hours after eating it.  Fortunately, the food poisoning will pass and you will be all right.",Look for water.,You find a dirty puddle. You know it is likely contaminated but you are so thirsty you bend down and lap it up.,You change your mind and make yourself throw up the water. You gather the dirty water in a container and search for a way to boil or purify it.
apoc_seed1,0000202,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,"You discovered the peppered beef had gone bad when you developed cramps and diarrhea just hours after eating it.  Fortunately, the food poisoning will pass and you will be all right.",Look for water.,You find a dirty puddle. You know it is likely contaminated but you are so thirsty you bend down and lap it up.,Get on your feet and keep walking.
apoc_seed1,0000203,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,"You discovered the peppered beef had gone bad when you developed cramps and diarrhea just hours after eating it.  Fortunately, the food poisoning will pass and you will be all right.",Look for water.,You find a dirty puddle. You know it is likely contaminated but you are so thirsty you bend down and lap it up.,"Consider the new lows you're hitting, lapping from a dirty puddle."
apoc_seed1,0000210,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,"You discovered the peppered beef had gone bad when you developed cramps and diarrhea just hours after eating it.  Fortunately, the food poisoning will pass and you will be all right.",Look for more food.,"You find some rotten vegetables, and nothing more.","Throw the rotten vegetables against the wall, in anger."
apoc_seed1,0000211,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,"You discovered the peppered beef had gone bad when you developed cramps and diarrhea just hours after eating it.  Fortunately, the food poisoning will pass and you will be all right.",Look for more food.,"You find some rotten vegetables, and nothing more.",Exit the room.
apoc_seed1,0000300,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,"There is no more food around, and you start feeling hungry.","Fast, its good for you",You fall down on the ground. You close your eyes.,"Wake up and forage for mushroom and berries, and hope that they're not toxic."
apoc_seed1,0000301,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,"There is no more food around, and you start feeling hungry.","Fast, its good for you",You fall down on the ground. You close your eyes.,Wake up and construct a trap for catching any rodents or animals that come through.
apoc_seed1,0000310,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,"There is no more food around, and you start feeling hungry.",Yell and hope someone is around,The silence from the darkness is deafening.,Start crying.
